BD_mean,ln_BD_mean,clay_mean,ln_clay_mean,FF,HCl.Pi_mean,HCl.Po_mean,HCl.PSR_mean,ln_HCl.Pi_mean,ln_HCl.Po_mean,ln_HCl.PSR_mean,LOI_mean,ln_LOI_mean,MM.MUP_mean,ln_MM.MUP_mean,MM.P_mean,ln_MM.P_mean,Ox.P_mean,Ox.Al_mean,Ox.Fe_mean,Ox.Mn_mean,Ox.PSR_mean,Ox.SPSC_mean,Ox.PSC_mean,Ox.P2Fe_mean,Ox.P2Al_mean,Ox.Al2Fe_mean,ln_Ox.P_mean,ln_Ox.Al_mean,ln_Ox.Fe_mean,ln_Ox.Mn_mean,ln_Ox.PSR_mean,ln_Ox.PSC_mean,ln_Ox.P2Fe_mean,ln_Ox.P2Al_mean,ln_Ox.Al2Fe_mean,sand_mean,ln_sand_mean,silt_mean,ln_silt_mean,TP.ign_mean,ln_TP.ign_mean,WEPw_mean,ln_WEPw_mean,YSF_mean,DO.mgl_mean,lnSRP,
0.240149529,-1.426493511,15,2.708050201,0,559.3778345,629.8375076,0.10279048,6.326825156,6.445461862,-2.275062542,0.330673181,-1.106624759,6.795,1.916187048,5.65,1.731655545,701.6236513,2327.595223,5042.137721,200.1227154,0.129038053,555.0060798,2731.803763,0.253539287,0.263007276,0.959790025,6.553397151,7.752590921,8.525585422,5.298930755,-2.047647937,7.912717389,-1.372236488,-1.335573581,-0.041040743,6.45,1.864080131,78.55,4.363735365,1189.215342,7.081048992,0.649004349,-0.432315862,26.51944444,1.156666667,-2.90562043,0.054714833
0.240149529,-1.426493511,15,2.708050201,0,559.3778345,629.8375076,0.10279048,6.326825156,6.445461862,-2.275062542,0.330673181,-1.106624759,6.795,1.916187048,5.65,1.731655545,701.6236513,2327.595223,5042.137721,200.1227154,0.129038053,555.0060798,2731.803763,0.253539287,0.263007276,0.959790025,6.553397151,7.752590921,8.525585422,5.298930755,-2.047647937,7.912717389,-1.372236488,-1.335573581,-0.041040743,6.45,1.864080131,78.55,4.363735365,1189.215342,7.081048992,0.649004349,-0.432315862,26.51944444,6.4975,-3.646168046,0.026090917
0.36870357,-0.997762292,10,2.302585093,0,335.5616107,824.3319863,0.065250369,5.815805578,6.714573345,-2.72952358,0.196760717,-1.625766923,9.235,2.223000614,7.045,1.952318145,656.4123127,1937.227493,5529.128816,263.0510851,0.124835469,559.1358232,2642.495948,0.216122172,0.295822556,0.728836801,6.486789117,7.569013102,8.617785544,5.572348253,-2.080758659,7.879479184,-1.53191142,-1.217995479,-0.316305439,6.255,1.833381144,83.745,4.427776467,1159.893597,7.056083553,0.22229935,-1.503730383,26.51944444,0.436666667,-2.724637005,0.06557
0.36870357,-0.997762292,10,2.302585093,0,335.5616107,824.3319863,0.065250369,5.815805578,6.714573345,-2.72952358,0.196760717,-1.625766923,9.235,2.223000614,7.045,1.952318145,656.4123127,1937.227493,5529.128816,263.0510851,0.124835469,559.1358232,2642.495948,0.216122172,0.295822556,0.728836801,6.486789117,7.569013102,8.617785544,5.572348253,-2.080758659,7.879479184,-1.53191142,-1.217995479,-0.316305439,6.255,1.833381144,83.745,4.427776467,1159.893597,7.056083553,0.22229935,-1.503730383,26.51944444,5.435,-3.973543862,0.018806667
0.522510119,-0.649110928,8.75,2.1690537,0,281.2639143,674.8834107,0.056352282,5.639293425,6.514539951,-2.876132539,0.197962963,-1.619675322,6.82,1.919859472,4.46,1.495148766,464.5356609,1741.693202,5435.104696,366.2776301,0.092907128,687.4056531,2504.220248,0.155367862,0.231729,0.666455741,6.141038328,7.462613024,8.600634063,5.903391598,-2.376154903,7.825732687,-1.861959668,-1.462186695,-0.405781547,15.99,2.771963527,75.26,4.320948785,956.147325,6.862912007,0.161054058,-1.826015207,26.51944444,0.991666667,-2.811235307,0.060130667
0.522510119,-0.649110928,8.75,2.1690537,0,281.2639143,674.8834107,0.056352282,5.639293425,6.514539951,-2.876132539,0.197962963,-1.619675322,6.82,1.919859472,4.46,1.495148766,464.5356609,1741.693202,5435.104696,366.2776301,0.092907128,687.4056531,2504.220248,0.155367862,0.231729,0.666455741,6.141038328,7.462613024,8.600634063,5.903391598,-2.376154903,7.825732687,-1.861959668,-1.462186695,-0.405781547,15.99,2.771963527,75.26,4.320948785,956.147325,6.862912007,0.161054058,-1.826015207,26.51944444,7.2925,-3.773831136,0.022963917
0.659826877,-0.415777786,7.5,2.014903021,0.777777778,609.3010619,536.7231204,0.215622517,6.4123125,6.285482357,-1.534226008,0.103599909,-2.267218831,4.173333333,1.428715077,6.465,1.866403012,495.4340174,1098.19475,2825.004738,109.1231121,0.175422581,154.2543833,1412.366088,0.316877806,0.393247188,0.806849063,6.205434181,7.001422974,7.946265321,4.692476714,-1.740557465,7.253021654,-1.149239049,-0.933316889,-0.214618663,30.06666667,3.403417138,62.43333333,4.134099321,1146.024182,7.044053998,3.861010423,1.350928917,1.525,1.24,-0.844676909,0.429696167
0.659826877,-0.415777786,7.5,2.014903021,0.777777778,609.3010619,536.7231204,0.215622517,6.4123125,6.285482357,-1.534226008,0.103599909,-2.267218831,4.173333333,1.428715077,6.465,1.866403012,495.4340174,1098.19475,2825.004738,109.1231121,0.175422581,154.2543833,1412.366088,0.316877806,0.393247188,0.806849063,6.205434181,7.001422974,7.946265321,4.692476714,-1.740557465,7.253021654,-1.149239049,-0.933316889,-0.214618663,30.06666667,3.403417138,62.43333333,4.134099321,1146.024182,7.044053998,3.861010423,1.350928917,1.525,5.378333333,-1.111000203,0.3292295
0.781959871,-0.245951855,7.5,2.014903021,0.555555556,778.1180101,339.305101,0.284205151,6.656878197,5.826899706,-1.25805894,0.067889318,-2.689876578,3.756666667,1.323532039,11.905,2.47695848,605.8010071,1048.166727,2783.437142,74.89302899,0.221036986,25.38384407,1372.140981,0.394418183,0.503573433,0.78324097,6.406551561,6.954797943,7.931441825,4.316060815,-1.509425234,7.224127559,-0.930343554,-0.686025732,-0.244314878,27.06666667,3.298302958,65.43333333,4.181031813,1117.423111,7.01878052,3.452117727,1.238987877,5.525,0.411666667,-0.335179539,0.715209667
0.781959871,-0.245951855,7.5,2.014903021,0.555555556,778.1180101,339.305101,0.284205151,6.656878197,5.826899706,-1.25805894,0.067889318,-2.689876578,3.756666667,1.323532039,11.905,2.47695848,605.8010071,1048.166727,2783.437142,74.89302899,0.221036986,25.38384407,1372.140981,0.394418183,0.503573433,0.78324097,6.406551561,6.954797943,7.931441825,4.316060815,-1.509425234,7.224127559,-0.930343554,-0.686025732,-0.244314878,27.06666667,3.298302958,65.43333333,4.181031813,1117.423111,7.01878052,3.452117727,1.238987877,5.525,6.94,-1.100670906,0.332647833
